italian,english
cosa,thing
anno,year
uomo,man
giorno,day
volta,time
casa,home
parte,part
vita,life
tempo,time
donna,woman
mano,hand
occhio,eye
ora,now
signore,Mr.
paese,country, town
momento,moment
modo,way
mondo,world
parola,word
padre,father
punto,point
lavoro,work
stato,state
caso,case
città,city
guerra,war
strada,street
figlio,son
notte,night
voce,voice
nome,name
sera,evening
acqua,water
amico,friend
fatto,done
gente,people
amore,love
storia,history
aria,air
forza,power
testa,head
ragione,reason
mare,sea
mese,month
capo,head
luce,light
sole,Sun
famiglia,family
piede,foot
persona,person
via,street
signora,Mrs
governo,government
senso,sense
opera,Opera
prodotto,product
festa,party
gioco,game
prova,test
campagna,countryside
fiore,flower
sala,room, hall
misura,measure
posizione,position
natura,nature
ufficio,office
specie,species
successo,success
zona,area
fuoco,fire
soldato,soldier
vista,view
libertà,freedom
risultato,result
importanza,importance
dubbio,doubt
ricerca,Research
dio,God
figura,figure
piazza,square
questione,question
nemico,enemy
pena,punishment
motivo,reason
esperienza,experience
ricordo,memory
albero,tree
politica,policy
processo,process
vino,wine
porta,door
sud,south
sogno,dream
cane,dog
isola,island
movimento,movement
mente,mind
occasione,opportunity
prezzo,price
causa,cause
periodo,period
sviluppo,development
sorella,sister
effetto,effect
giardino,garden
attività,activities
volontà,will
volto,face
base,basis
carattere,character
coscienza,consciousness
guardia,guard
memoria,memory
terreno,ground
animale,animal
direzione,direction
eccellenza,excellence
malattia,disease
scienza,science
funzione,function
conseguenza,result
parete,wall
dente,tooth
distanza,distance
gusto,taste
impressione,impression
istituto,institute
quadro,painting
attenzione,attention
autore,author
difficoltà,difficulty
passione,passion
commissione,commission
dito,finger
inizio,Start
programma,program
spettacolo,show
titolo,title
comunicazione,communication
fenomeno,phenomenon
maggio,May
stampa,press
denaro,money
destino,destiny
dovere,duty
ferro,iron
punta,tip
regno,kingdom
epoca,era
luna,moon
provincia,province
voglia,wish
differenza,difference
controllo,control
grazia,grace
passato,past
spazio,space
stella,star
corsa,race
erba,grass
massa,mass
origine,origin
polizia,police
soluzione,solution
chilometro,kilometer
madre,mother
paura,fear
cuore,heart
idea,idea
fondo,background
esempio,example
ordine,order
posto,place
campo,field
faccia,face
moglie,wife
ragazzo,boy
bisogno,need
cielo,sky
letto,bed
fronte,front
conto,bill
corpo,body
numero,number
ministro,minister
problema,problem
chiesa,church
braccio,arm
bambino,child
pensiero,thought
pace,peace
morte,death
fine,end
forma,form
resto,rest
popolo,people
società,society
studio,study
legge,law
libro,book
figlia,daughter
resto,rest
luogo,place
condizione,condition
professore,teacher
marito,husband
verità,truth
segno,sign
diritto,right
lettera,letter
ragazza,girl
scuola,school
camera,room
gruppo,group
discorso,speech
centro,center
secolo,century
mezzo,half
tipo,guy
colpa,fault
rispetto,respect
scena,scene
oggetto,object
possibilità,possibility
mamma,mom
presenza,presence
teatro,theater
caffè,coffee
principio,principle
termine,term
lingua,tongue
pezzo,piece
capello,hair
regione,region
monte,Mountain
università,university
treno,train
inverno,winter
nazione,nation
pagina,page
scopo,purpose
compagno,partner
necessità,need
potere,power
musica,music
dottore,doctor
sentimento,feeling
nave,ship
pietra,Stone
produzione,production
speranza,hope
dolore,ache
carne,meat
generale,general
proposito,purpose
elemento,element
stazione,railway station
materia,matter
scala,ladder
maniera,way
arma,weapon
autorità,authority
gamba,leg
patria,homeland
albergo,hotel
gioia,joy
argomento,topic
sguardo,look
relazione,report
classe,class
battaglia,battle
viso,face
gesto,gesture
mattino,morning
opinione,opinion
ponte,bridge
sorriso,smile
frase,phrase
limite,limit
ritorno,return
bosco,wood
esame,exam
lato,side
operazione,operation
pranzo,lunch
costa,it costs
prato,meadow
repubblica,republic
valle,Valley
nord,north
fatica,fatigue
odore,smell
articolo,article
costruzione,construction
rivoluzione,Revolution
zia,aunt
confronto,comparison
potenza,power
sforzo,effort
sicurezza,safety
ufficiale,official
crisi,crisis
cucina,kitchen
gatto,cat
pietà,pity
territorio,territory
attimo,moment
civiltà,civilization
contatto,contact
errore,error
fretta,hurry
intenzione,intention
cultura,culture
giudizio,judgement
spesa,expense
aiuto,Help
ambiente,environment
animo,mind
bestia,beast
cortile,courtyard
pelle,skin
proposta,proposal
riva,shore
segretario,secretary
abito,dress
chiave,key
corrente,current
operaio,worker
corso,course
finestra,window
arte,art
sistema,system
piano,plan
bocca,mouth
anima,soul
palazzo,palace
passo,step
giornata,day
servizio,service
rapporto,relationship
milione,million
stanza,room
valore,value
colpo,blow
sangue,blood
interesse,interest
spalla,shoulder
silenzio,silence
signorina,young lady
ombra,shadow
azione,action
vento,wind
mattina,morning
colore,color
presidente,president
consiglio,Advice
principe,prince
viaggio,travel
genere,kind
giornale,newspaper
spirito,spirit
cavallo,horse
muro,Wall
situazione,situation
linea,line
giro,round
automobile,car
atto,act
aspetto,appearance
età,age
fortuna,luck
oro,gold
partito,party
macchina,machine
carta,paper
minuto,minute
tratto,stretch
settimana,week
notizia,news
fratello,brother
realtà,reality
industria,industry
piacere,pleasure
maestro,master
personaggio,character
pomeriggio,afternoon
fianco,side
bambina,child
bellezza,beauty
domanda,question
pianta,plant
pubblico,public
sede,seat
affare,deal
bene,well
metà,half
papà,Pope
fiume,river
lotta,fight
mercato,market
angolo,angle
compagnia,company
espressione,expression
labbro,lip
villa,villa
desiderio,desire
serie,series
visita,visit
coraggio,courage
direttore,director
esercito,army
grado,degree
padrone,master
risposta,reply
tavola,table
immagine,image
montagna,mountain
energia,power
fede,wedding ring
pane,bread
seguito,following
estate,summer
film,movie
frutto,fruit
onore,honor
pericolo,danger
scrittore,writer
collina,hill
zio,uncle
difesa,defence
metro,meter
collo,neck
cura,care
disposizione,layout
Domenica,Sunday
giovanotto,young man
poeta,poet
stagione,season
peso,weight
tono,tone
croce,cross
decisione,decision
poesia,poetry
fiducia,confidence
filo,wire
folla,crowd
qualità,quality
roba,stuff
conoscenza,knowledge
favore,favor
popolazione,population
strumento,tool
uso,use
vestito,dress
commercio,business
fabbrica,factory
giugno,June
giustizia,justice
avvocato,lawyer
messa,mass
orecchio,ear
sonno,sleep
congresso,congress
porto,port
calcio,football
fantasia,fantasy
matrimonio,marriage
medico,doctor
ospedale,Hospital
pianura,flat land
tavolo,table
fame,hunger
latte,milk
merito,merit
attore,actor
ricchezza,wealth
sacrificio,sacrifice
atteggiamento,attitude
concetto,concept
mestiere,craft
attesa,waiting
bagno,bathroom
foglia,leaf
istante,instant
lago,lake